배정기준일,현금배당,주식,종목코드,종목명,시장구분,배당구분,명의개서대리인,주식종류,주당배당금,,주당배당률(일반),,주당배당률(차등),,액면가,결산월
,지급일,유통(교부)일,,,,,,,일반,차등,현금,주식,현금,주식,,
20190630,20190814,,004450,삼화왕관,유가증권시장,현금배당,하나은행,보통주,500,,10,0,,,5000,12
20190630,20191024,,021820,세원정공,유가증권시장,현금배당,국민은행,보통주,25,,5,0,,,500,06
20190630,20191025,,066710,세원테크,기타비상장,현금배당,한국예탁결제원,보통주,50,,10,0,,,500,06
20190630,20190725,,004080,신흥,유가증권시장,현금배당,국민은행,보통주,100,50,20,0,.1,,500,12
20190630,20190814,,003410,쌍용양회공업,유가증권시장,현금배당,한국예탁결제원,보통주,100,,10,0,,,1000,12
20190630,20190814,,003415,쌍용양회공업1우,유가증권시장,현금배당,한국예탁결제원,우선주,100,,10,0,,,1000,12
20190630,20190828,,225330,씨엠에스에듀,코스닥시장,현금배당,한국예탁결제원,보통주,200,,40,0,,,500,12
20190630,20190826,,123860,아나패스,코스닥시장,현금배당,국민은행,보통주,100,,20,0,,,500,12
20190630,20191015,,050860,아세아텍,코스닥시장,현금배당,한국예탁결제원,보통주,50,,10,0,,,500,06
20190630,20191023,,030960,양지사,코스닥시장,현금배당,하나은행,보통주,50,,10,0,,,500,06
20190630,20190723,,230360,에코마케팅,코스닥시장,현금배당,국민은행,보통주,310,,310,0,,,100,12
20190630,20190830,,079440,오렌지라이프생명보험,유가증권시장,현금배당,한국예탁결제원,보통주,800,,80,0,,,1000,12
20190630,20190814,,021240,웅진코웨이,유가증권시장,현금배당,하나은행,보통주,800,,160,0,,,500,12
20190630,20190730,,044340,위닉스,코스닥시장,현금배당,국민은행,보통주,200,,40,0,,,500,12
20190630,20190725,,049520,유아이엘,코스닥시장,현금배당,한국예탁결제원,보통주,150,,30,0,,,500,12
20190630,20190820,,208760,이니스프리,기타비상장,현금배당,한국예탁결제원,보통주,410000,,8200,0,,,5000,12
20190630,20190930,,088260,이리츠코크렙기업구조조정부동산투자회사,유가증권시장,현금배당,국민은행,보통주,175,,35,0,,,500,12
20190630,20190830,,049070,인탑스,코스닥시장,현금배당,국민은행,보통주,50,,10,0,,,500,12
20190630,20190926,,122320,제이알제2호기업구조조정부동산투자회사,기타비상장,현금배당,하나은행,보통주,0,,8.77571377,0,,,5000,12
20190630,20190926,,122325,제이알제2호기업구조조정부동산투자회사1우,기타비상장,현금배당,하나은행,우선주,0,,4.06630137,0,,,5000,12
20190630,20190725,,194370,제이에스코퍼레이션,유가증권시장,현금배당,한국예탁결제원,보통주,250,,250,0,,,100,12
20190630,20190823,,053050,지에스이,코스닥시장,현금배당,한국예탁결제원,보통주,20,,4,0,,,500,12
20190630,20190809,,003780,진양산업,유가증권시장,현금배당,하나은행,보통주,50,,10,0,,,500,12
20190630,20190812,,100250,진양홀딩스,유가증권시장,현금배당,하나은행,보통주,50,,10,0,,,500,12
20190630,20190830,,000650,천일고속,유가증권시장,현금배당,한국예탁결제원,보통주,1000,,20,0,,,5000,12
20190630,20190823,,096240,청담러닝,코스닥시장,현금배당,한국예탁결제원,보통주,500,,100,0,,,500,12
20190630,20190731,,002380,케이씨씨,유가증권시장,현금배당,하나은행,보통주,1000,,20,0,,,5000,12
20190630,20190719,,033290,코웰패션,코스닥시장,현금배당,한국예탁결제원,보통주,50,,10,0,,,500,12
20190630,20190829,,263510,코크렙제38호기업구조조정부동산투자회사,기타비상장,현금배당,하나은행,보통주,0,,38.66647853,0,,,5000,12
20190630,20190829,,015890,태경산업,유가증권시장,현금배당,하나은행,보통주,150,,30,0,,,500,12
20190630,20190816,,005490,포스코,유가증권시장,현금배당,국민은행,보통주,2000,,40,0,,,5000,12
20190630,20191018,20191018,189690,포시에스,코스닥시장,동시배당,국민은행,보통주,100,,20,5,,,500,06
20190630,20190812,,086790,하나금융지주,유가증권시장,현금배당,하나은행,보통주,500,,10,0,,,5000,12
20190630,20190726,,039130,하나투어,유가증권시장,현금배당,한국예탁결제원,보통주,600,,120,0,,,500,12
20190630,20190821,,025540,한국단자공업,유가증권시장,현금배당,하나은행,보통주,250,,50,0,,,500,12
20190630,20190719,,168490,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,유가증권시장,현금배당,한국예탁결제원,보통주,40,,.94228504122497,0,,,0,03
20190630,20190823,,213500,한솔제지,유가증권시장,현금배당,한국예탁결제원,보통주,200,,4,0,,,5000,12
20190630,20190823,,21350K,한솔제지1우,기타비상장,현금배당,한국예탁결제원,우선주,200,,4,0,,,5000,12
20190630,20190826,,018880,한온시스템,유가증권시장,현금배당,국민은행,보통주,80,,80,0,,,100,12
20190630,20190730,,220630,해마로푸드서비스,코스닥시장,현금배당,국민은행,보통주,20,,20,0,,,100,12
20190630,20190809,,012330,현대모비스,유가증권시장,현금배당,한국예탁결제원,보통주,1000,,20,0,,,5000,12
20190630,20190809,,012335,현대모비스1우,기타비상장,현금배당,한국예탁결제원,우선주,1000,,20,0,,,5000,12
20190630,20190809,,005380,현대자동차,유가증권시장,현금배당,하나은행,보통주,1000,,20,0,,,5000,12
20190630,20190809,,005385,현대자동차1우,유가증권시장,현금배당,하나은행,우선주,1000,,20,0,,,5000,12
20190630,20190809,,005387,현대자동차2우,유가증권시장,현금배당,하나은행,2우선주,1000,,20,0,,,5000,12
20190630,20190809,,005389,현대자동차3우,유가증권시장,현금배당,하나은행,3우선주,1000,,20,0,,,5000,12
20190627,20190718,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.59452055,0,,,5000,12
20190620,20190703,,083370,동북아12호선박투자회사,유가증권시장,현금배당,한국예탁결제원,보통주,0,,1.51232876,0,,,5000,12
20190617,20190628,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.678082,0,,,5000,12
20190617,20190628,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.379726,0,,,5000,12
20190617,20190628,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.162739,0,,,5000,12
20190612,20190619,,000030,우리은행,기타비상장,현금배당,한국예탁결제원,보통주,1000,,20,0,,,5000,12
20190605,20190621,,152550,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),유가증권시장,현금배당,한국예탁결제원,보통주,50,,1.38083402375035,0,,,0,12
20190531,20190830,,320950,코크렙제47호위탁관리부동산투자회사,기타비상장,현금배당,국민은행,보통주,0,,0,0,,,5000,05
20190531,20190830,,32095K,코크렙제47호위탁관리부동산투자회사1우,기타비상장,현금배당,국민은행,우선주,0,,22.0451614,0,,,5000,05
20190531,20190830,,32095L,코크렙제47호위탁관리부동산투자회사2우,기타비상장,현금배당,국민은행,2우선주,0,,7.13962615,0,,,5000,05
20190527,20190618,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,0,.5369863,0,0,,5000,12
20190515,20190604,,099620,코엔스,프리보드시장,현금배당,국민은행,보통주,0,,100,0,,,500,12
20190515,20190531,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.616438,0,,,5000,12
20190515,20190531,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.345205,0,,,5000,12
20190515,20190530,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.147945,0,,,5000,12
20190430,20190514,,083380,동북아13호선박투자회사,유가증권시장,현금배당,한국예탁결제원,보통주,0,,1.47945205,0,,,5000,12
20190430,20190807,,176740,코크렙광교개발전문위탁관리부동산투자회사,기타비상장,현금배당,하나은행,보통주,0,,28.10891936,0,,,5000,10
20190429,20190517,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.63287671,0,,,5000,12
20190417,,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,100,,,5000,12
20190417,20190502,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,0,.73148,0,0,,5000,12
20190417,,,203810,국제16호선박투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,100,,.9926850415,5000,12
20190415,20190430,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.636986,0,,,5000,12
20190415,20190430,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.356712,0,,,5000,12
20190415,20190430,,159650,하이골드오션8호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.152876,0,,,5000,12
20190331,20190626,,950110,SBI 핀테크솔루션즈,코스닥시장,현금배당,한국예탁결제원,보통주,183.3586,,0,0,,,0,03
20190331,20190531,,008870,금비,유가증권시장,현금배당,하나은행,보통주,500,,10,0,,,5000,09
20190331,20190704,,092440,기신정기,유가증권시장,현금배당,국민은행,보통주,150,,30,0,,,500,03
20190331,20190719,,020180,대신정보통신,코스닥시장,현금배당,하나은행,보통주,10,,2,0,,,500,03
20190331,20190515,,000150,두산,유가증권시장,현금배당,하나은행,보통주,1300,,26,0,,,5000,12
20190331,20190515,,000155,두산1우,유가증권시장,현금배당,하나은행,우선주,1300,,26,0,,,5000,12
20190331,20190515,,000157,두산2우,유가증권시장,현금배당,하나은행,2우선주,1300,,26,0,,,5000,12
20190331,20190628,,044130,리딩투자증권,기타비상장,현금배당,한국예탁결제원,보통주,32,,9.14285714285714,0,,,350,03
20190331,20190425,,002840,미원상사,유가증권시장,현금배당,하나은행,보통주,1000,,20,0,,,500,12
20190331,20190520,,005930,삼성전자,유가증권시장,현금배당,한국예탁결제원,보통주,354,,354,0,,,100,12
20190331,20190520,,005935,삼성전자1우,유가증권시장,현금배당,한국예탁결제원,우선주,354,,354,0,,,100,12
20190331,20190621,,001720,신영증권,유가증권시장,현금배당,한국예탁결제원,보통주,2750,,55,0,,,5000,03
20190331,20190621,,001725,신영증권1우,유가증권시장,현금배당,한국예탁결제원,우선주,2800,,56,0,,,5000,03
20190331,20190627,,293940,신한알파위탁관리부동산투자회사,유가증권시장,현금배당,국민은행,보통주,137,,13.7,0,,,1000,03
20190331,20190627,,29394K,신한알파위탁관리부동산투자회사1우,기타비상장,현금배당,국민은행,우선주,411,,41.1,0,,,1000,03
